mua,mus
0.0167991,5.6999
0.0189635,5.6999
0.0214067,5.6999
0.0241647,5.6999
0.027278,5.6999
0.0307924,5.6999
0.0347596,5.6999
0.039238,5.6999
0.0442933,5.6999
0.05,5.6999
0.005,6.21972
0.00564419,6.21972
0.00637137,6.21972
0.00719225,6.21972
0.00811888,6.21972
0.0091649,6.21972
0.0103457,6.21972
0.0116786,6.21972
0.0131833,6.21972
0.0148818,6.21972
0.0167991,6.21972
0.0189635,6.21972
0.0214067,6.21972
0.0241647,6.21972
0.027278,6.21972
0.0307924,6.21972
0.0347596,6.21972
0.039238,6.21972
0.0442933,6.21972
0.05,6.21972
0.005,6.78694
0.00564419,6.78694
0.00637137,6.78694
0.00719225,6.78694
0.00811888,6.78694
0.0091649,6.78694
0.0103457,6.78694
0.0116786,6.78694
0.0131833,6.78694
0.0148818,6.78694
0.0167991,6.78694
0.0189635,6.78694
0.0214067,6.78694
0.0241647,6.78694
0.027278,6.78694
0.0307924,6.78694
0.0347596,6.78694
0.039238,6.78694
0.0442933,6.78694
0.05,6.78694
0.005,7.40588
0.00564419,7.40588
0.00637137,7.40588
0.00719225,7.40588
0.00811888,7.40588
0.0091649,7.40588
0.0103457,7.40588
0.0116786,7.40588
0.0131833,7.40588
0.0148818,7.40588
0.0167991,7.40588
0.0189635,7.40588
0.0214067,7.40588
0.0241647,7.40588
0.027278,7.40588
0.0307924,7.40588
0.0347596,7.40588
0.039238,7.40588
0.0442933,7.40588
0.05,7.40588
0.005,8.08128
0.00564419,8.08128
0.00637137,8.08128
0.00719225,8.08128
0.00811888,8.08128
0.0091649,8.08128
0.0103457,8.08128
0.0116786,8.08128
0.0131833,8.08128
0.0148818,8.08128
0.0167991,8.08128
0.0189635,8.08128
0.0214067,8.08128
0.0241647,8.08128
0.027278,8.08128
0.0307924,8.08128
0.0347596,8.08128
0.039238,8.08128
0.0442933,8.08128
0.05,8.08128
0.005,8.81826
0.00564419,8.81826
0.00637137,8.81826
0.00719225,8.81826
0.00811888,8.81826
0.0091649,8.81826
0.0103457,8.81826
0.0116786,8.81826
0.0131833,8.81826
0.0148818,8.81826
0.0167991,8.81826
0.0189635,8.81826
0.0214067,8.81826
0.0241647,8.81826
0.027278,8.81826
0.0307924,8.81826
0.0347596,8.81826
0.039238,8.81826
0.0442933,8.81826
0.05,8.81826
0.005,9.62246
0.00564419,9.62246
0.00637137,9.62246
0.00719225,9.62246
0.00811888,9.62246
0.0091649,9.62246
0.0103457,9.62246
0.0116786,9.62246
0.0131833,9.62246
0.0148818,9.62246
0.0167991,9.62246
0.0189635,9.62246
0.0214067,9.62246
0.0241647,9.62246
0.027278,9.62246
0.0307924,9.62246
0.0347596,9.62246
0.039238,9.62246
0.0442933,9.62246
0.05,9.62246
0.005,10.5
0.00564419,10.5
0.00637137,10.5
0.00719225,10.5
0.00811888,10.5
0.0091649,10.5
0.0103457,10.5
0.0116786,10.5
0.0131833,10.5
0.0148818,10.5
0.0167991,10.5
0.0189635,10.5
0.0214067,10.5
0.0241647,10.5
0.027278,10.5
0.0307924,10.5
0.0347596,10.5
0.039238,10.5
0.0442933,10.5
0.05,10.5
